no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-36,-45,-59,-58,-8.08488,-35.56958
,-39,-45,-64,-58,-11.7664,-25.91258
,-36,-45,-65,-58,-11.7336,-25.986258
,-36,-45,-63,-58,-10.228,-25.96758
,-40,-45,-59,-58,-10.3147,-28.079458
,-36,-45,-59,-58,-10.4551,-28.086258
,-35,-45,-58,-58,-9.66576,-28.379258
,-35,-45,-59,-57,-9.79584,-28.529257
,-36,-45,-60,-58,-10.0279,-28.300958
,-37,-45,-63,-57,-11.1955,-28.553357
,-38,-45,-67,-58,-11.1598,-28.215158
,-38,-45,-65,-58,-9.56245,-28.087958
,-38,-45,-58,-58,-10.2294,-28.492958
,-41,-47,-64,-60,-15.8739,-28.47156
,-41,-54,-70,-67,-16.1411,-23.209167
,-46,-58,-74,-72,-20.9701,-18.44972
,-41,-55,-73,-68,-16.017,-20.086668
,-35,-54,-59,-67,-8.62222,-22.493967
,-35,-55,-57,-70,-7.75215,-19.32047
,-39,-51,-56,-64,-10.5822,-23.372764
,-34,-49,-56,-62,-7.5669,-26.134462
,-40,-53,-59,-67,-14.8867,-22.842967
,-48,-55,-78,-69,-24.169,-19.343369
,-47,-57,-77,-71,-22.7999,-20.85571
,-48,-54,-76,-68,-22.4937,-21.824168
,-43,-53,-72,-66,-16.5941,-22.299566
,-35,-51,-59,-64,-7.80069,-23.821464
,-39,-49,-54,-62,-10.6862,-25.498762
,-46,-55,-65,-69,-17.0622,-21.192869
,-50,-55,-77,-69,-28.3996,-21.050569
,-52,-54,-89,-67,-33.0761,-22.464867
,-46,-52,-81,-65,-23.2024,-28.837865
,-51,-49,-73,-62,-28.5022,-26.590962
,-45,-52,-71,-65,-19.4409,-20.495565
,-43,-52,-65,-65,-15.2285,-23.321265
,-39,-53,-57,-66,-13.0945,-23.390166
,-45,-57,-68,-71,-20.0438,-17.292171
,-52,-55,-83,-69,-30.1691,-21.192669
,-48,-52,-71,-65,-23.9828,-27.243865
,-43,-51,-66,-64,-17.5081,-25.046564
,-40,-53,-65,-67,-14.245,-19.619667
,-48,-51,-69,-64,-22.5099,-23.261964
,-50,-53,-78,-66,-24.5001,-23.776666
,-51,-52,-75,-65,-24.9385,-24.600165
,-46,-52,-74,-65,-22.0976,-23.132165
,-51,-53,-73,-66,-29.425,-23.361166
,-47,-54,-68,-68,-22.4228,-21.909768
,-47,-53,-68,-67,-20.6546,-22.706867
,-44,-56,-69,-69,-17.1428,-22.357869
,-46,-53,-71,-66,-19.3014,-22.724566
,-46,-53,-72,-67,-21.6571,-19.710967
,-44,-53,-66,-67,-18.4822,-23.638567
,-53,-56,-77,-70,-31.2756,-17.30757
,-45,-56,-72,-69,-20.563,-22.192969
,-45,-56,-68,-70,-19.7554,-20.69457
,-50,-59,-74,-74,-27.071,-17.776674
,-53,-55,-86,-70,-31.7389,-20.59047
,-49,-57,-72,-71,-25.1803,-22.368971
,-53,-55,-70,-69,-31.6524,-22.1169
,-47,-57,-69,-71,-24.6423,-20.615271
,-49,-56,-70,-70,-25.1131,-20.51677
,-52,-53,-80,-67,-31.2908,-22.956667
,-43,-56,-72,-70,-18.2296,-22.62887
,-48,-55,-68,-69,-23.9092,-19.50469
,-44,-54,-69,-68,-17.4478,-22.360568
,-48,-50,-67,-63,-24.6304,-24.306363
,-44,-55,-58,-69,-16.4319,-19.499169
,-34,-55,-59,-68,-8.77511,-20.714768
,-40,-49,-57,-62,-14.7023,-25.716962
,-43,-49,-66,-62,-17.8658,-25.68662
,-45,-48,-74,-61,-18.8277,-26.079461
,-41,-51,-66,-64,-14.3181,-24.113664
,-41,-50,-62,-63,-13.8008,-23.922863
,-40,-48,-61,-61,-11.903,-25.880161
,-46,-49,-63,-62,-18.1135,-25.513962
,-47,-50,-79,-63,-24.4366,-25.526663
,-43,-53,-70,-66,-18.5126,-24.040166
,-41,-56,-64,-70,-15.6846,-19.7647
,-38,-50,-63,-64,-12.3234,-25.032464
,-42,-47,-67,-60,-15.0405,-26.94226
,-41,-57,-68,-71,-12.9599,-19.230671
,-37,-47,-58,-60,-11.6075,-26.18996
,-44,-49,-65,-62,-18.876,-25.537862
,-45,-51,-72,-65,-19.7216,-22.949765
,-44,-56,-71,-70,-19.1972,-19.26237
,-47,-52,-75,-65,-21.8738,-22.287165
,-46,-55,-77,-69,-20.9537,-20.952769
,-41,-55,-75,-69,-13.9005,-20.501169
,-41,-55,-65,-68,-12.6716,-19.415568
,-41,-52,-63,-66,-15.7888,-23.3766
,-45,-51,-67,-64,-20.3634,-24.265364
,-41,-50,-64,-63,-15.5316,-26.297563
,-41,-53,-64,-67,-15.9252,-20.43467
,-44,-52,-66,-65,-18.1016,-22.948165
,-44,-53,-75,-67,-18.2196,-21.374467
,-43,-47,-66,-60,-12.8714,-27.50186
,-50,-50,-68,-63,-24.639,-24.708863
,-42,-49,-72,-62,-15.1989,-26.482262
,-42,-52,-62,-65,-16.7324,-24.471365
,-35,-50,-63,-62,-9.88665,-25.750762
,-30,-54,-48,-67,-4.29319,-20.907567
,-34,-52,-53,-65,-7.49585,-23.606965
,-37,-52,-62,-66,-10.1912,-23.135366
,-46,-52,-72,-67,-18.7558,-23.493567
,-48,-50,-80,-63,-21.9748,-25.291963
,-41,-53,-72,-67,-15.9252,-21.954567
,-40,-50,-67,-63,-15.2515,-25.85763
,-42,-50,-66,-63,-17.0078,-24.639863
,-46,-49,-73,-62,-22.2354,-26.796762
,-47,-47,-75,-60,-20.7301,-24.19216
,-47,-47,-77,-60,-20.7764,-27.42716
,-44,-50,-65,-63,-16.5809,-24.483163
,-49,-52,-78,-66,-25.8031,-23.847266
,-41,-52,-62,-66,-15.6694,-23.556166
,-37,-47,-56,-60,-11.9144,-27.23146
,-37,-51,-56,-64,-11.7715,-23.988764
,-44,-54,-70,-68,-18.0029,-20.71468
,-47,-53,-77,-67,-21.7087,-22.425167
,-44,-54,-78,-67,-17.8589,-22.541467
,-42,-54,-59,-68,-14.8821,-19.471368
,-44,-52,-66,-66,-16.9322,-23.123766
,-43,-53,-66,-66,-18.234,-20.221466
,-52,-55,-79,-68,-31.6596,-19.48268
,-41,-52,-71,-65,-17.5004,-25.095765
,-38,-52,-57,-65,-11.8323,-23.294465
,-38,-55,-57,-68,-11.6549,-22.667568
,-40,-53,-69,-67,-12.6097,-22.648467
,-51,-58,-81,-72,-27.2638,-17.835772
,-41,-53,-68,-66,-16.2385,-24.340766
,-39,-49,-62,-62,-14.2371,-26.171262
,-40,-47,-61,-60,-15.0955,-27.62366
,-39,-52,-59,-64,-13.1114,-24.934364
,-41,-56,-68,-69,-14.8897,-20.150569
,-46,-54,-72,-67,-19.0979,-21.587467
,-42,-53,-65,-68,-14.9281,-23.099568
,-49,-53,-69,-68,-19.7961,-22.802668
,-46,-53,-71,-67,-19.774,-22.122367
,-48,-55,-74,-69,-22.5579,-18.739869
,-47,-56,-71,-70,-23.2605,-20.30397
,-47,-57,-79,-72,-23.3672,-20.632672
,-49,-58,-71,-72,-25.3203,-19.355472
,-51,-53,-84,-67,-28.1325,-21.67167
,-47,-56,-70,-71,-20.7268,-21.414171
,-47,-55,-72,-69,-21.999,-18.463469
,-43,-54,-62,-68,-18.6341,-20.259168
,-44,-58,-69,-75,-19.3448,-16.309575
,-43,-58,-68,-73,-17.8554,-16.808173
,-42,-58,-64,-73,-16.0635,-18.359473
,-45,-58,-69,-74,-18.6577,-14.110874
,-48,-58,-79,-74,-21.6026,-17.267474
,-48,-59,-78,-75,-21.9473,-16.453675
,-46,-59,-66,-75,-19.9439,-17.063575
,-48,-59,-75,-73,-22.3399,-19.088573
,-53,-57,-82,-72,-32.3826,-17.799672
,-41,-58,-65,-74,-17.0025,-17.728574
,-41,-55,-61,-70,-14.814,-19.71597
,-50,-55,-78,-68,-26.5824,-20.801568
,-49,-55,-75,-68,-21.9677,-22.185168
,-44,-55,-68,-70,-18.1191,-20.69817
,-40,-53,-60,-67,-15.1464,-22.129467
,-44,-55,-68,-69,-19.4168,-19.526769
,-46,-53,-65,-67,-21.4017,-19.845167
,-44,-55,-71,-68,-19.2965,-19.494768
,-42,-53,-66,-67,-15.9195,-22.877367
,-47,-54,-78,-67,-20.3413,-23.575267
,-48,-55,-75,-69,-22.59,-21.021269
,-43,-53,-70,-66,-18.5831,-22.510766
,-39,-54,-62,-68,-13.9269,-17.634768
,-41,-51,-59,-64,-15.8912,-24.594364
,-34,-52,-56,-66,-8.91058,-23.27766
,-39,-52,-60,-65,-12.3787,-24.393465
,-37,-53,-64,-66,-9.77264,-21.259366
,-42,-53,-63,-67,-14.2237,-20.213467
,-44,-51,-68,-64,-16.9057,-24.929264
,-37,-55,-60,-68,-11.3412,-21.770968
,-50,-57,-75,-73,-27.2314,-13.950973
,-45,-53,-70,-67,-21.0819,-22.853367
,-45,-57,-69,-70,-19.6148,-20.61577
,-46,-57,-75,-70,-19.9212,-18.50747
,-44,-59,-67,-74,-18.1065,-16.583774
,-49,-58,-77,-73,-23.9357,-19.312373
,-52,-57,-81,-70,-30.9953,-19.87317
,-52,-55,-82,-69,-32.4153,-17.556169
,-47,-57,-82,-71,-26.2336,-22.794371
,-40,-54,-58,-67,-14.7144,-24.843167
,-43,-55,-67,-68,-17.4908,-22.5768
,-51,-56,-81,-70,-28.213,-17.85827
,-50,-54,-77,-67,-25.2708,-22.498367
,-52,-57,-82,-71,-29.4767,-19.549371
,-49,-53,-79,-66,-24.771,-24.494666
,-43,-55,-62,-68,-17.3998,-23.322568
,-46,-52,-71,-65,-21.7249,-24.759165
,-53,-56,-81,-70,-29.9476,-20.94077
,-52,-58,-81,-72,-30.5213,-16.710972
,-44,-53,-64,-66,-17.6359,-24.473266
,-52,-56,-73,-69,-27.5485,-21.259169
,-48,-60,-70,-75,-19.8311,-16.843475
,-43,-60,-64,-77,-19.4663,-12.788577
,-48,-59,-69,-74,-23.5761,-18.173174
,-42,-58,-71,-72,-18.5034,-19.151672
,-40,-56,-62,-69,-14.1737,-19.917969
