no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-55,-54,-88,-68,-29.3929,-29.543568
,-57,-54,-85,-68,-34.9295,-20.407768
,-54,-54,-79,-69,-29.4202,-19.184169
,-55,-54,-78,-69,-27.9431,-18.916969
,-54,-54,-78,-69,-28.5134,-18.561969
,-52,-54,-79,-68,-28.771,-19.772768
,-52,-54,-79,-68,-28.5761,-19.026368
,-53,-54,-79,-69,-29.1648,-18.940569
,-55,-54,-79,-69,-28.3473,-19.096769
,-55,-54,-78,-68,-28.3737,-20.639468
,-55,-54,-80,-68,-27.9295,-21.523168
,-55,-54,-81,-69,-29.2887,-21.655869
,-53,-54,-82,-69,-29.9549,-21.700469
,-54,-54,-85,-69,-31.364,-20.650669
,-54,-54,-82,-69,-28.8361,-21.322169
,-54,-54,-83,-68,-29.6899,-21.790268
,-55,-54,-85,-69,-30.2538,-21.587769
,-54,-53,-81,-68,-27.7837,-21.020768
,-56,-53,-79,-68,-28.1953,-21.401368
,-57,-54,-81,-69,-29.24,-21.241669
,-53,-54,-81,-69,-28.2892,-20.66969
,-53,-54,-79,-69,-27.5595,-20.866969
,-53,-54,-81,-69,-27.9335,-21.415269
,-54,-54,-83,-68,-28.6244,-21.585668
,-55,-54,-85,-69,-29.2809,-20.836769
,-55,-54,-86,-68,-31.8099,-21.537868
,-55,-54,-79,-68,-29.3672,-21.818668
,-55,-53,-81,-68,-29.2454,-21.938868
,-53,-54,-82,-69,-29.0932,-21.4869
,-53,-54,-82,-68,-29.0946,-21.663568
,-54,-53,-83,-68,-29.5838,-22.022968
,-52,-54,-84,-68,-30.0235,-21.621768
,-52,-54,-79,-68,-25.8157,-21.21368
,-54,-54,-78,-68,-28.391,-20.87468
,-54,-53,-79,-68,-27.3615,-21.194568
,-50,-53,-75,-68,-24.9266,-21.204568
,-47,-54,-73,-68,-28.7084,-21.126568
,-53,-54,-76,-68,-27.9818,-21.131868
,-54,-53,-84,-68,-28.4953,-21.286668
,-51,-54,-80,-69,-24.736,-20.209469
,-52,-54,-77,-69,-24.8598,-20.293269
,-52,-54,-74,-69,-24.3218,-20.508869
,-51,-54,-74,-68,-24.4561,-21.03668
,-52,-53,-79,-68,-27.5319,-21.459768
,-53,-53,-84,-68,-28.8046,-21.576168
,-54,-53,-84,-68,-28.7267,-21.606268
,-54,-53,-84,-68,-28.7853,-21.483668
,-55,-53,-84,-68,-28.6692,-21.648468
,-56,-53,-82,-68,-28.7194,-21.52968
,-56,-53,-81,-68,-28.6354,-21.531868
,-55,-53,-81,-68,-28.6109,-21.541468
,-56,-53,-81,-68,-28.5478,-21.796668
,-53,-53,-82,-68,-28.5034,-21.522668
,-54,-53,-83,-68,-28.5982,-21.555668
,-54,-53,-83,-68,-28.7996,-22.101468
,-49,-53,-83,-68,-28.5572,-21.290668
,-56,-53,-81,-68,-28.255,-21.118868
,-56,-53,-81,-68,-28.4743,-21.875468
,-53,-53,-82,-68,-28.752,-21.500268
,-51,-53,-78,-68,-28.9824,-21.518468
,-53,-53,-77,-68,-28.8265,-21.50968
,-54,-53,-82,-68,-28.6676,-21.535168
,-54,-53,-83,-68,-28.4092,-21.257668
,-55,-53,-84,-68,-28.449,-21.404968
,-56,-53,-82,-68,-28.7304,-19.067468
,-54,-53,-81,-68,-28.614,-21.526568
,-53,-53,-82,-68,-28.5982,-21.572868
,-53,-53,-82,-68,-28.5468,-21.81868
,-53,-53,-82,-68,-28.4761,-21.642268
,-54,-53,-83,-68,-28.5353,-21.617168
,-54,-53,-84,-68,-28.5956,-21.501468
,-54,-54,-80,-68,-26.7845,-21.105668
,-55,-54,-77,-68,-26.2557,-20.917268
