no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-46,-55,-65,-70,-19.0136,-26.4647
,-47,-55,-67,-70,-19.0504,-20.07437
,-45,-55,-72,-70,-19.073,-20.08017
,-45,-55,-74,-70,-19.4868,-20.12177
,-45,-55,-69,-69,-19.9963,-20.18169
,-45,-55,-68,-69,-19.43,-20.377169
,-45,-55,-67,-69,-18.9303,-20.273469
,-47,-56,-70,-70,-20.276,-19.87617
,-48,-55,-70,-69,-19.5201,-20.446569
,-52,-55,-74,-70,-21.0695,-20.11557
,-47,-55,-75,-69,-20.9546,-20.030469
,-45,-55,-68,-69,-19.5563,-20.728269
,-45,-55,-68,-69,-19.7208,-20.485669
,-44,-55,-67,-69,-19.4318,-20.507669
,-45,-55,-68,-69,-19.906,-20.629869
,-47,-55,-69,-69,-19.5146,-20.67969
,-48,-55,-70,-69,-19.6639,-20.770969
,-46,-55,-72,-69,-19.6755,-20.798269
,-45,-55,-71,-69,-19.6262,-20.757969
,-45,-55,-69,-69,-19.8843,-20.77869
,-45,-55,-69,-69,-19.9105,-20.671669
,-45,-55,-68,-69,-19.8117,-20.646769
,-46,-55,-69,-69,-19.8103,-20.721869
,-46,-55,-69,-69,-19.8005,-20.728869
,-46,-55,-69,-69,-19.7265,-20.683569
,-46,-55,-73,-68,-19.7708,-20.836868
,-45,-55,-72,-69,-19.7047,-20.742869
,-45,-55,-68,-69,-19.7243,-20.717569
,-45,-55,-68,-69,-19.7372,-20.717169
,-45,-55,-68,-69,-19.4974,-20.64269
,-46,-55,-69,-69,-19.7723,-20.585669
,-48,-55,-70,-69,-19.4329,-20.629569
,-47,-55,-71,-69,-19.4622,-20.622769
,-45,-55,-73,-69,-19.6009,-20.393269
,-45,-55,-69,-69,-19.7937,-20.413569
,-44,-55,-68,-69,-19.5569,-20.273669
,-45,-55,-68,-69,-19.6384,-20.350869
,-45,-55,-68,-69,-19.636,-20.324169
,-46,-55,-69,-69,-19.9086,-20.396969
,-48,-55,-70,-69,-19.88,-20.328969
,-50,-55,-71,-69,-19.7579,-20.342469
,-46,-55,-74,-69,-20.0341,-20.427869
,-45,-55,-69,-69,-19.7922,-20.392669
,-45,-55,-68,-69,-19.565,-20.241269
,-45,-55,-68,-69,-19.8217,-20.287569
,-45,-55,-68,-69,-19.45,-20.403869
,-47,-55,-69,-69,-19.6884,-20.386969
,-48,-55,-70,-69,-19.6892,-20.344169
,-47,-55,-73,-69,-20.0885,-20.243169
,-46,-55,-73,-69,-20.779,-20.358469
,-45,-55,-69,-70,-20.1799,-19.96947
,-45,-55,-68,-69,-19.5106,-20.456669
,-45,-55,-68,-69,-19.9504,-20.45769
,-46,-55,-69,-69,-20.1935,-19.996269
,-47,-55,-69,-69,-19.6163,-20.318169
,-49,-55,-70,-69,-19.5233,-20.378769
,-45,-55,-71,-69,-19.325,-20.191769
,-44,-55,-68,-69,-19.3203,-20.35469
,-45,-55,-68,-69,-19.7553,-20.391269
,-45,-55,-68,-69,-19.6743,-20.435969
,-46,-55,-69,-69,-19.9164,-20.405469
,-47,-55,-70,-69,-20.0623,-20.371469
,-48,-55,-71,-69,-20.0735,-20.454669
,-47,-55,-72,-69,-20.0439,-20.45569
