time;nof_samples;rssi;rsrp;power;nof_ue;dl_brate;ul_brate
0;0;0.0;0.0
1;0;0.0;0.0
2;0;0.0;0.0
3;0;0.0;0.0
4;0;0.0;0.0
5;0;0.0;0.0
6;3.0;-55;-88;-29.3929;1;536;2216.073242
7;14;-57;-85;-34.9295;1;2528.111328;45233.992188
8;0.0;-54;-79;-29.4202;1;0.0;12537.015625
9;0.0;-55;-78;-27.9431;1;0.0;12664.494141
10;0.0;-54;-78;-28.5134;1;0.0;12664.722656
11;0.0;-52;-79;-28.771;1;0.0;12664.734375
12;0.0;-52;-79;-28.5761;1;0.0;12536.350586
13;0.0;-53;-79;-29.1648;1;0.0;12536.664062
14;0.0;-55;-79;-28.3473;1;0.0;12792.485352
15;0.0;-55;-78;-28.3737;1;0.0;12664.569336
16;1.0;-55;-80;-27.9295;1;712;13312.532227
17;1.0;-55;-81;-29.2887;1;712;13312.771484
18;1.0;-53;-82;-29.9549;1;712;13184.685547
19;1.0;-54;-85;-31.364;1;712;9048.733398
20;1.0;-54;-82;-28.8361;1;712;13440.873047
21;1.0;-54;-83;-29.6899;1;712;13184.989258
22;1.0;-55;-85;-30.2538;1;712;13313.304688
23;1.0;-54;-81;-27.7837;1;712;13440.739258
24;1.0;-56;-79;-28.1953;1;712;13568.624023
25;1.0;-57;-81;-29.24;1;712;13312.519531
26;1.0;-53;-81;-28.2892;1;712;13440.940430
27;1.0;-53;-79;-27.5595;1;712;13569.275391
28;1.0;-53;-81;-27.9335;1;712;13440.900391
29;1.0;-54;-83;-28.6244;1;712;13313.583984
30;1.0;-55;-85;-29.2809;1;712;13186.096680
31;1.0;-55;-86;-31.8099;1;712;9048.733398
32;1.0;-55;-79;-29.3672;1;712;13313.491211
33;1.0;-55;-81;-29.2454;1;712;13314.157227
34;1.0;-53;-82;-29.0932;1;712;13185.952148
35;1.0;-53;-82;-29.0946;1;712;13314.090820
36;1.0;-54;-83;-29.5838;1;712;13313.597656
37;1.0;-52;-84;-30.0235;1;712;13313.451172
38;1.0;-52;-79;-25.8157;1;712;13442.070312
39;1.0;-54;-78;-28.391;1;712;13441.397461
40;1.0;-54;-79;-27.3615;1;712;13569.656250
41;1.0;-50;-75;-24.9266;1;712;13569.804688
42;1.0;-47;-73;-28.7084;1;712;13441.989258
43;1.0;-53;-76;-27.9818;1;712;13572.085938
44;1.0;-54;-84;-28.4953;1;712;13441.707031
45;1.0;-51;-80;-24.736;1;712;13570.510742
46;1.0;-52;-77;-24.8598;1;712;13570.103516
47;1.0;-52;-74;-24.3218;1;712;13569.723633
48;1.0;-51;-74;-24.4561;1;712;13569.995117
49;1.0;-52;-79;-27.5319;1;712;13569.818359
50;1.0;-53;-84;-28.8046;1;712;13313.824219
51;1.0;-54;-84;-28.7267;1;712;13441.909180
52;1.0;-54;-84;-28.7853;1;712;13441.532227
53;3.0;-55;-84;-28.6692;1;712;13441.989258
54;1.0;-56;-82;-28.7194;1;712;13441.357422
55;1.0;-56;-81;-28.6354;1;712;13441.599609
56;1.0;-55;-81;-28.6109;1;712;13441.397461
57;1.0;-56;-81;-28.5478;1;712;13441.585938
58;1.0;-53;-82;-28.5034;1;712;13313.411133
59;1.0;-54;-83;-28.5982;1;712;13441.263672
60;1.0;-54;-83;-28.7996;1;712;13441.909180
61;1.0;-49;-83;-28.5572;1;712;13570.401367
62;1.0;-56;-81;-28.255;1;712;13570.211914
63;1.0;-56;-81;-28.4743;1;712;13441.639648
64;1.0;-53;-82;-28.752;1;712;13313.716797
65;1.0;-51;-78;-28.9824;1;712;13441.788086
66;1.0;-53;-77;-28.8265;1;712;13441.800781
67;1.0;-54;-82;-28.6676;1;712;13441.196289
68;1.0;-54;-83;-28.4092;1;712;13569.656250
69;1.0;-55;-84;-28.449;1;712;13570.401367
70;1.0;-56;-82;-28.7304;1;712;13569.437500
71;1.0;-54;-81;-28.614;1;712;13569.709961
72;1.0;-53;-82;-28.5982;1;712;13314.968750
73;1.0;-53;-82;-28.5468;1;712;13441.412109
74;1.0;-53;-82;-28.4761;1;712;13441.518555
75;1.0;-54;-83;-28.5353;1;712;13442.581055
76;1.0;-54;-84;-28.5956;1;712;13442.110352
77;1.0;-54;-80;-26.7845;1;712;13569.248047
78;1.0;-55;-77;-26.2557;1;712;13570.211914
79;1.0;-51;-75;-25.4793;1;712;13570.347656
80;1.0;-50;-75;-25.5848;1;712;13569.574219
81;1.0;-51;-76;-25.6589;1;712;13569.926758
82;1.0;-51;-78;-25.623;1;712;13569.940430
83;1.0;-50;-77;-24.154;1;712;13569.940430
84;1.0;-52;-79;-24.2756;1;712;13569.397461
85;1.0;-51;-77;-24.0394;1;712;13570.388672
86;1.0;-52;-74;-24.0048;1;712;13569.777344
87;1.0;-54;-75;-25.0479;1;712;13569.411133
88;1.0;-49;-75;-24.0498;1;712;13569.411133
89;1.0;-49;-76;-25.4223;1;712;8529.160156
90;1.0;-51;-77;-24.8969;1;712;13569.330078
91;1.0;-49;-80;-25.0304;1;712;13569.248047
92;1.0;-50;-78;-23.9923;1;712;13573.537109
93;1.0;-51;-75;-24.1369;1;712;13569.289062
94;1.0;-49;-75;-24.1293;1;712;13569.804688
95;1.0;-49;-75;-24.1886;1;712;13569.926758
96;1.0;-50;-76;-24.3332;1;712;13569.600586
97;1.0;-50;-77;-24.371;1;712;13569.371094
98;1.0;-50;-78;-24.3884;1;712;13569.478516
99;1.0;-51;-77;-24.4237;1;712;13571.175781
100;1.0;-52;-75;-24.4578;1;712;13569.873047
101;1.0;-50;-74;-23.524;1;712;13569.600586
102;1.0;-49;-75;-24.3818;1;712;13570.170898
103;1.0;-49;-74;-24.1285;1;712;13569.791016
104;1.0;-49;-75;-23.8968;1;712;13569.383789
105;1.0;-50;-76;-23.972;1;712;13574.719727
106;1.0;-50;-78;-24.0709;1;712;13569.628906
107;1.0;-51;-80;-24.1845;1;712;13570.280273
108;1.0;-51;-83;-24.0457;1;712;13572.330078
109;1.0;-50;-79;-23.9795;1;712;13569.858398
110;1.0;-49;-74;-24.0946;1;712;13569.858398
111;1.0;-49;-75;-24.1883;1;712;13569.737305
112;1.0;-50;-76;-24.4283;1;712;13569.600586
113;1.0;-50;-77;-24.3279;1;712;13569.465820
114;1.0;-50;-78;-24.5022;1;712;13569.818359
115;1.0;-51;-81;-24.4842;1;712;13569.737305
116;1.0;-52;-78;-24.3728;1;712;13569.682617
117;1.0;-54;-75;-24.5472;1;712;13569.926758
118;1.0;-50;-75;-24.4927;1;712;13569.560547
119;1.0;-50;-76;-24.6861;1;712;13569.248047
120;1.0;-50;-76;-24.2456;1;712;13569.940430
121;1.0;-50;-77;-24.524;1;712;13569.289062
122;1.0;-50;-78;-24.4838;1;712;13569.737305
123;1.0;-51;-81;-24.843;1;712;13573.021484
124;1.0;-52;-79;-24.7195;1;712;13573.470703
125;1.0;-54;-75;-24.7436;1;712;13573.660156
126;1.0;-50;-75;-24.6127;1;712;13572.044922
127;1.0;-50;-75;-24.5667;1;712;13570.103516
128;1.0;-50;-76;-24.5603;1;712;13570.021484
129;1.0;-50;-77;-24.5295;1;712;13569.560547
130;1.0;-50;-78;-24.442;1;712;13569.452148
131;1.0;-51;-80;-24.4119;1;712;13570.306641
132;1.0;-52;-78;-24.4005;1;712;13569.519531
133;1.0;-51;-75;-24.3724;1;712;13568.840820
134;1.0;-50;-75;-24.3927;1;712;13568.976562
135;1.0;-49;-75;-24.5146;1;712;13570.510742
136;1.0;-50;-76;-24.459;1;712;13569.628906
137;1.0;-50;-77;-24.5362;1;712;13569.505859
138;1.0;-50;-78;-24.4453;1;712;13569.818359
139;55;-58;-94;-39.6205;1;0.0;8529.074219
140;126;-54;-81;-28.0305;1;712;17834.300781
141;126;-50;-72;-24.5371;1;712;13570.320312
142;126;-50;-74;-24.5835;1;712;13570.795898
143;126;-50;-75;-24.528;1;712;13570.497070
144;126;-50;-76;-24.6399;1;712;13569.682617
145;126;-52;-78;-24.7079;1;712;13570.917969
146;126;-51;-77;-24.6719;1;712;13569.696289
147;126;-50;-76;-24.8282;1;712;13442.204102
148;126;-50;-76;-24.7866;1;712;13569.709961
149;127;-50;-76;-24.8181;1;712;13571.053711
150;126;-50;-76;-24.7686;1;712;13569.493164
151;126;-50;-76;-24.5697;1;712;13569.505859
152;80;-50;-77;-24.6041;1;712;13568.854492
153;1.0;-50;-78;-24.5515;1;712;13570.333984
154;1.0;-51;-81;-24.5439;1;712;13569.220703
155;1.0;-53;-79;-24.5232;1;712;13572.044922
156;1.0;-51;-75;-24.5589;1;712;13570.048828
157;1.0;-49;-75;-24.5567;1;712;13569.641602
158;1.0;-50;-76;-24.5276;1;712;13569.437500
159;1.0;-50;-77;-24.6155;1;712;13569.505859
160;1.0;-51;-78;-24.5753;1;712;13569.628906
161;1.0;-51;-79;-24.4821;1;712;13569.235352
162;1.0;-52;-78;-24.5621;1;712;13569.397461
163;1.0;-52;-75;-24.6087;1;712;13570.062500
164;1.0;-50;-75;-24.4993;1;712;13569.777344
165;1.0;-49;-75;-24.5062;1;712;13569.804688
166;1.0;-50;-76;-24.435;1;712;13569.180664
